Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
GPT-2 Small,1008.0,66.60413356015283,15.617036934287741,24566,7.490987300872803,#1f77b4,
GPT-2 Small,2000.0,49.53295815766151,15.617036934287741,24566,7.484610557556152,#1f77b4,
GPT-2 Small,3008.0,41.78632882070892,15.617036934287741,24566,7.447577476501465,#1f77b4,
GPT-2 Small,4000.0,37.273798772319374,15.617036934287741,24566,7.456152439117432,#1f77b4,
GPT-2 Small,5008.0,34.14082215031843,15.617036934287741,24566,7.459299564361572,#1f77b4,
GPT-2 Small,6000.0,31.851175084253146,15.617036934287741,24566,7.449132919311523,#1f77b4,
GPT-2 Small,7008.0,30.0462783096051,15.617036934287741,24566,7.444148063659668,#1f77b4,
GPT-2 Small,8000.0,28.618309427203215,15.617036934287741,24566,7.444369316101074,#1f77b4,
GPT-2 Small,9008.0,27.421953914518788,15.617036934287741,24566,7.450077533721924,#1f77b4,
GPT-2 Small,10000.0,26.428454116843955,15.617036934287741,24566,7.45663595199585,#1f77b4,
GPT-2 Small,10159.0,26.281793786174916,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,10320.0,26.136755833585784,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,10483.0,25.99333328281995,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,10650.0,25.8498194316389,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,10818.0,25.708812438578722,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,10990.0,25.567810948972483,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,11164.0,25.428498511072974,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,11341.0,25.29008653864253,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,11520.0,25.153367510190836,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,11703.0,25.016848670464075,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,11888.0,24.88205452749435,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,12077.0,24.747556887603224,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,12268.0,24.614805969461543,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,12462.0,24.48310639054601,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,12660.0,24.35182509269645,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,12860.0,24.222307790783162,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,13064.0,24.093276190519006,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,13271.0,23.965400127003186,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,13481.0,23.838692206319283,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
