Model,alias_factor,alias_mode,N,Total Bound,Random Baseline,B,P,m_alias,R_hat_hG,eps_loss_hat,eta_hat,KL_M_Som_bits,t_proxy_risk,t_reconstruction_gap,t_mismatch,t_sparse_complexity,t_concentration,asymptotic_floor,top_k,alpha,delta,calibration_tokens,extrapolated,Crossing N
GPT-2 Small,1,token_hash,1008.0,66.42525901494558,15.617036934287741,16.617036934287743,24510,24576,7.381552696228027,0.21360881626605988,0.0019841270986944437,0.25151869654655457,7.381552696228027,0.21360881626605988,0.032970313281326755,58.02240529829959,0.7747218908705873,7.628131825775414,64,0.5,0.05,2240000,False,
GPT-2 Small,2,token_hash,1008.0,90.47221481902385,15.617036934287741,16.617036934287743,48975,49152,7.3815531730651855,0.21360881626605988,0.0029761905316263437,0.25151869654655457,7.3815531730651855,0.21360881626605988,0.04945546798751243,82.05287547083451,0.7747218908705873,7.644617457318758,64,0.5,0.05,2240000,False,
GPT-2 Small,4,token_hash,1008.0,124.47368821359484,15.617036934287741,16.617036934287743,97848,98304,7.3815531730651855,0.21360881626605988,0.003968254197388887,0.25151869654655457,7.3815531730651855,0.21360881626605988,0.06594062656265351,116.03786370683036,0.7747218908705873,7.661102615893899,64,0.5,0.05,2240000,False,
GPT-2 Small,8,token_hash,1008.0,172.53600650471958,15.617036934287741,16.617036934287743,195427,196608,7.3815531730651855,0.21360881626605988,0.003968254197388887,0.25151869654655457,7.3815531730651855,0.21360881626605988,0.06594062656265351,164.1001819979551,0.7747218908705873,7.661102615893899,64,0.5,0.05,2240000,False,
GPT-2 Small,16,token_hash,1008.0,240.63778686203037,15.617036934287741,16.617036934287743,390109,393216,7.381554126739502,0.21360881626605988,0.011904762126505375,0.25151869654655457,7.381554126739502,0.21360881626605988,0.19782187195004972,232.07008015620417,0.7747218908705873,7.792984814955611,64,0.5,0.05,2240000,False,
GPT-2 Small,32,token_hash,1008.0,337.35315104096844,15.617036934287741,16.617036934287743,778095,786432,7.381765365600586,0.21360881626605988,0.0476190485060215,0.25151869654655457,7.381765365600586,0.21360881626605988,0.7912874878001989,328.191767480431,0.7747218908705873,8.386661669666845,64,0.5,0.05,2240000,False,
GPT-2 Small,1,token_hash,2000.0,49.38567982784581,15.617036934287741,16.617036934287743,24510,24576,7.38657808303833,0.21573969721794128,0.0024999999441206455,0.2532300055027008,7.38657808303833,0.21573969721794128,0.04154259140717006,41.19182147424987,0.5499979819325026,7.6438603716634415,64,0.5,0.05,2240000,False,
GPT-2 Small,2,token_hash,2000.0,66.46223831943732,15.617036934287741,16.617036934287743,48975,49152,7.38657808303833,0.21573969721794128,0.0035000001080334187,0.2532300055027008,7.38657808303833,0.21573969721794128,0.05815963106520241,58.25176292618334,0.5499979819325026,7.660477411321474,64,0.5,0.05,2240000,False,
GPT-2 Small,4,token_hash,2000.0,90.60580309434268,15.617036934287741,16.617036934287743,97848,98304,7.386577606201172,0.21573969721794128,0.0044999998062849045,0.2532300055027008,7.386577606201172,0.21573969721794128,0.07477666298532394,82.37871114600573,0.5499979819325026,7.6770939664044375,64,0.5,0.05,2240000,False,
GPT-2 Small,8,token_hash,2000.0,124.75158551081796,15.617036934287741,16.617036934287743,195427,196608,7.386573314666748,0.21573969721794128,0.006000000052154064,0.2532300055027008,7.386573314666748,0.21573969721794128,0.09970222247237247,116.49957229452839,0.5499979819325026,7.702015234357062,64,0.5,0.05,2240000,False,
