Model,alias_factor,m_original,m_alias,P_alias,P_fraction,alias_mode,calibration_tokens,top_k
GPT-2 Small,1,24576,24576,24510,0.997314453125,token_hash,2240000,64
GPT-2 Small,2,24576,49152,48975,0.99639892578125,token_hash,2240000,64
GPT-2 Small,4,24576,98304,97848,0.995361328125,token_hash,2240000,64
GPT-2 Small,8,24576,196608,195427,0.9939931233723959,token_hash,2240000,64
GPT-2 Small,16,24576,393216,390109,0.9920984903971354,token_hash,2240000,64
GPT-2 Small,32,24576,786432,778095,0.9893989562988281,token_hash,2240000,64
Gemma-2B,1,16384,16384,16078,0.9813232421875,token_hash,2240000,64
Gemma-2B,2,16384,32768,32087,0.979217529296875,token_hash,2240000,64
Gemma-2B,4,16384,65536,64068,0.97760009765625,token_hash,2240000,64
Gemma-2B,8,16384,131072,127952,0.9761962890625,token_hash,2240000,64
Gemma-2B,16,16384,262144,255493,0.9746284484863281,token_hash,2240000,64
Gemma-2B,32,16384,524288,509889,0.9725360870361328,token_hash,2240000,64
Llama-3.1-8B,1,131072,131072,130700,0.997161865234375,token_hash,2240000,64
Llama-3.1-8B,2,131072,262144,260850,0.9950637817382812,token_hash,2240000,64
Llama-3.1-8B,4,131072,524288,519386,0.9906501770019531,token_hash,2240000,64
Llama-3.1-8B,8,131072,1048576,1028878,0.9812145233154297,token_hash,2240000,64
Llama-3.1-8B,16,131072,2097152,2014253,0.9604706764221191,token_hash,2240000,64
Llama-3.1-8B,32,131072,4194304,3821573,0.9111340045928955,token_hash,2240000,64
