perturbation,random_repeat,target_layer,target_sort,horizon,kl_bits,norm_l2,cosine_distance,mean_delta_norm,relative_delta_norm,Model,patch_layer,patch_hook,batch_index,tokens_in_batch,total_cached_tokens,top_k
sae,-1,4,4,0,1.3630675077438354,0.5596453547477722,0.18639244139194489,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,5,5,1,5.051827430725098,2.488968849182129,0.7002097964286804,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,6,6,2,5.467999458312988,2.3643815517425537,0.7174341678619385,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,8,8,4,5.89849328994751,2.0867466926574707,0.7605606317520142,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,9,9,5,5.987512111663818,1.9511079788208008,0.7789470553398132,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,10,10,6,6.118441581726074,1.861147165298462,0.789983868598938,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,12,12,8,5.793887138366699,1.5906128883361816,0.7758896350860596,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,13,13,9,5.916921615600586,1.5555753707885742,0.7923895120620728,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,14,14,10,5.974431991577148,1.421088695526123,0.7876264452934265,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,16,16,12,5.9307966232299805,1.3313753604888916,0.7784141302108765,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,17,17,13,6.264828205108643,1.3376988172531128,0.8144491910934448,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,18,18,14,6.671875953674316,1.3820151090621948,0.8019639253616333,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,20,20,16,8.149086952209473,1.4012458324432373,0.8342703580856323,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,21,21,17,9.213349342346191,1.3965827226638794,0.8628911972045898,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,22,22,18,9.97856330871582,1.3885931968688965,0.8651633262634277,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,24,24,20,11.068950653076172,1.4172451496124268,0.8740774989128113,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,25,25,21,11.412274360656738,1.4233204126358032,0.8884902000427246,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,26,26,22,11.542242050170898,1.4295048713684082,0.9111436009407043,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,28,28,24,11.766366958618164,1.4221173524856567,0.9406604766845703,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,29,29,25,11.949676513671875,1.4454803466796875,0.9793664216995239,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,30,30,26,12.881607055664062,1.4415439367294312,0.9727767705917358,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
sae,-1,final,9999,full,12.162069320678711,,,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,4,4,0,1.1344752311706543,0.5595717430114746,0.15190045535564423,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,5,5,1,3.815594434738159,0.9589844346046448,0.5076718926429749,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,6,6,2,4.583372116088867,1.0326032638549805,0.6180291175842285,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,8,8,4,5.6611833572387695,1.162953495979309,0.7770020961761475,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,9,9,5,6.267027854919434,1.3102730512619019,0.861447274684906,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,10,10,6,6.330814838409424,1.3131699562072754,0.8843291997909546,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,12,12,8,6.373896598815918,1.2606310844421387,0.8786874413490295,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,13,13,9,6.457860946655273,1.2838976383209229,0.9017201662063599,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,14,14,10,6.411618709564209,1.21214759349823,0.8903205990791321,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
feature_shuffled_matched_norm,-1,16,16,12,7.0700554847717285,1.2551482915878296,0.9314281940460205,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,32256,64
