Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,4,blocks.4.hook_resid_post,4,4,0,feature_shuffled_matched_norm,64,1.0468532679572937,0.04652491803259098,0.5418099316339644,0.008352964982909553,0.13956226952492246,0.006008889526851946,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,4,4,0,sae,64,1.2797502241437397,0.047383790385124094,0.5418729063064333,0.008354789007025253,0.17434391095524743,0.005894825245607547,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,4,4,0,sae_over_feature_shuffle_ratio,64,1.2224733525844493,,1.0001162301921616,,1.2492195171999105,,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,5,5,1,feature_shuffled_matched_norm,64,3.727492468697684,0.0734519404921225,0.9420013730488126,0.010186276570522977,0.49098561443979777,0.007822492920431537,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,5,5,1,sae,64,4.991755364433168,0.06907339313970705,2.4599784480200872,0.035952747837739454,0.688407766440558,0.006667848160831187,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,5,5,1,sae_over_feature_shuffle_ratio,64,1.3391724883020872,,2.6114382827896536,,1.4020935567043322,,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,6,6,2,feature_shuffled_matched_norm,64,4.491378640371655,0.07776738498350161,1.023816254403856,0.007832761719260497,0.6094742814699808,0.007017132946286944,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,6,6,2,sae,64,5.412035064091758,0.11130050092315072,2.3433156959594243,0.030857749522305265,0.7064799070358276,0.006756142382679541,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,6,6,2,sae_over_feature_shuffle_ratio,64,1.2049830347066708,,2.288804935338599,,1.1591627875287545,,12.973771049862815,0.5418367414247423,63,32256
Llama-3.1-8B,4,blocks.4.hook_resid_post,8,8,4,feature_shuffled_matched_norm,64,5.641246053907606,0.06860560877117361,1.1515977174516707,0.007800179473116731,0.7734244427983723,0.00588509699550779,12.973771049862815,0.5418367414247423,63,32256
