Model,Layer,Dataset,Index,Label,Pred_M,Pred_SoM,Pred_hG,Correct_M,Correct_SoM,Correct_hG
GPT-2 Small,6,winogrande,0,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,1,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,2,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,3,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,4,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,5,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,6,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,7,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,8,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,9,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,10,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,11,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,12,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,13,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,14,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,15,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,16,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,17,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,18,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,19,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,20,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,21,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,22,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,23,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,24,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,25,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,26,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,27,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,28,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,29,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,30,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,31,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,32,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,33,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,34,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,35,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,36,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,37,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,38,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,39,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,40,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,41,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,42,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,43,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,44,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,45,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,46,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,47,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,48,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,49,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,50,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,51,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,52,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,53,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,54,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,55,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,56,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,57,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,58,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,59,0,0,0,0,1,1,1
